player_name,goals,minutes_played_official,assists,distance_covered,top_speed
Ethan Nwaneri,2,223,0,28.71,35.06
Bruno Petković,2,193,0,21.56,29.98
Felício Milson,2,169,0,20.7,31.97
Ricardo Pepi,2,163,1,22.66,31.62
George Ilenikhena,2,111,0,14.1,32.07
João Neves,1,1261,1,139.25,31.74
Hans Vanaken,1,1080,1,141.65,30.3
Dávid Hancko,1,1080,1,119.86,32.74
Nicolás Otamendi,1,1080,0,116.76,30.8
Maxim De Cuyper,1,1079,0,131.85,31.33
Minjae Kim,1,1074,0,111.16,34.55
Ezri Konsa,1,990,0,88.68,34.32
Christos Tzolis,1,939,4,116.38,33.24
Raphael Onyedika,1,939,1,118.46,29.88
Pascal Gross,1,918,2,106.4,29.72
Benjamin Pavard,1,855,0,74.42,31.81
Thilo Kehrer,1,855,2,92.58,32.48
Virgil van Dijk,1,840,0,87.49,34.92
Leon Goretzka,1,839,1,85.67,32.17
Gabriel,1,804,0,90.7,33.28
Reo Hatate,1,788,2,105.39,32.18
Konrad Laimer,1,781,1,75.47,34.46
Piero Hincapie,1,774,0,94.28,34.81
Jurriën Timber,1,769,1,56.53,32.71
Breel Embolo,1,750,3,79.11,32.9
José María Giménez,1,750,0,83.67,33.07
Éderson,1,739,0,100.18,34.72
Arne Engels,1,729,3,103.51,32.33
Nasser Djiga,1,720,1,78.9,33.27
Mahdi Camara,1,712,1,93.71,35.14
Ollie Watkins,1,697,4,77.96,33
Hugo Magnetti,1,697,1,93.59,29.92
Angelo Stiller,1,695,0,90.46,30.95
Loïs Openda,1,683,3,65.8,35.55
Berat Djimsiti,1,678,0,82.49,31.23
Kenan Yıldız,1,668,1,76.69,34.16
Rade Krunić,1,668,2,83.67,31.17
Mehdi Taremi,1,666,2,64.97,31.95
Gernot Trauner,1,659,1,75.13,31.94
Edimilson Fernandes,1,651,0,84.64,32.81
Ibrahima Konaté,1,649,0,69.49,34.11
Sead Kolašinac,1,639,1,75.65,32.9
Dominik Szoboszlai,1,637,1,82.91,34.52
Leroy Sané,1,634,0,59.86,34.38
Maximiliano Araújo,1,627,2,72.19,32.94
Felix Nmecha,1,619,1,62.71,34.71
Maximilian Beier,1,617,0,55.43,34.59
Otar Kiteishvili,1,616,0,82.51,32.29
Denis Zakaria,1,614,0,72.16,33.13
Francisco Conceição,1,606,1,65.36,33.37
Qazim Laçi,1,605,0,76.72,31.65
Warren Zaïre-Emery,1,599,0,81.94,32.44
Savinho,1,578,1,67.18,34.39
Lucas Vázquez,1,575,1,64.33,32.39
Giuliano Simeone,1,571,2,78.48,35.74
Zeno Debast,1,568,1,65.9,33.88
Jerdy Schouten,1,567,0,59.37,33.05
Timothy Weah,1,556,1,54.82,33.92
Tigran Barseghyan,1,553,2,63.03,34.59
Ángel Di María,1,547,2,64.41,32.81
Josha Vagnoman,1,545,1,69.03,35.53
Miguel Gutiérrez,1,540,0,67.52,31.57
Leon Bailey,1,531,1,62.96,32.3
Matheus Nunes,1,531,3,65.29,36.28
Jhon Lucumi,1,531,0,56.09,32.66
Raphaël Guerreiro,1,525,0,55.31,31.78
Geny Catamo,1,506,1,60.46,34.06
Chris Führich,1,506,0,58.63,32.76
Alexander Bah,1,500,2,64.49,33.76
Silvère Ganvoula,1,490,0,53.74,34.77
Gonçalo Inácio,1,488,0,52.83,32.79
Mohammed Salisu,1,477,0,52.54,31.23
Ronald Araújo,1,476,0,38.32,33.2
Conor Gallagher,1,469,1,63.71,32.85
Raoul Bellanova,1,468,0,59.37,35.03
Kyogo Furuhashi,1,467,0,50.34,34.05
Darwin Núñez,1,465,1,60.48,34.41
Kingsley Coman,1,460,0,58.18,35.42
Marko Tolić,1,459,1,53.43,31.96
Donny van de Beek,1,453,0,59.71,32.1
Davide Frattesi,1,451,0,52.89,32.53
Kevin Wimmer,1,450,0,52.25,31.08
Łukasz Łakomy,1,444,0,60.46,30.45
Nahuel Molina,1,427,0,53.32,34.14
Deniz Undav,1,425,1,50.28,30.59
Mitchel Bakker,1,422,0,52.12,33.01
Fermín López,1,414,5,34.28,31.81
Thijs Dallinga,1,410,0,52.33,31.67
Riccardo Calafiori,1,409,1,51.73,32.52
Patrik Schick,1,407,0,51.9,32.95
Ermedin Demirović,1,404,0,49.86,32.27
Álvaro Morata,1,396,1,48.12,33.72
Adam Daghim,1,393,0,54.73,35.63
Jacob Ramsey,1,392,2,40.05,34.4
Juanpe,1,390,1,44.31,30.42
Arnaut Danjuma,1,388,2,45.27,34.64
Rémy Cabella,1,388,1,42.93,31.1
Pierre Lees-Melou,1,374,0,48.99,32.25
Ian Maatsen,1,373,0,43.47,33.66
Mathias Pereira Lage,1,370,0,52.13,32.8
Liam Scales,1,370,0,43.88,32.1
David López,1,368,0,44.65,30.57
Aleix García,1,365,0,49.75,31.57
Nicolás González,1,365,1,29,33.33
John Stones,1,364,1,43.4,32.23
Edon Zhegrova,1,361,1,46.17,33.41
Nordi Mukiele,1,360,1,41.5,32.09
Jakub Moder,1,360,0,50.27,31.28
Dani Olmo,1,357,1,35.05,30.5
Jack Grealish,1,354,0,42.77,31.91
Samuel Iling-Junior,1,347,0,42.42,32.34
Mirko Ivanić,1,346,1,43.29,31.85
Marko Pjaca,1,344,3,39.69,31.54
Malick Thiaw,1,337,1,39.31,32.81
Mads Bidstrup,1,335,0,53.84,31.59
Nino Marcelli,1,330,1,43.42,32.41
Nathan Tella,1,330,0,41.12,33.51
Albion Rrahmani,1,327,0,41.15,31.75
Conrad Harder,1,326,0,42.67,33.25
Jorginho,1,323,0,40.71,28.2
Daniel Bragança,1,317,2,44.24,31.21
Kastriot Imeri,1,309,0,39.74,29.78
Mateo Kovačić,1,308,0,39.46,32.35
Eric Dier,1,296,0,15.91,31.15
Lazar Vujadin Samardžić,1,290,1,42.79,31.38
Marlon,1,289,0,36,31.92
Soungoutou Magassa,1,288,0,40.12,31.12
