name,goals,assists,top_speed,total_minutes,distance,rating,rank
Denzel Dumfries,2,1,33.48,776,71.78,4.592974923671484,D
Ramy Bensebaini,2,1,33.16,743,63.8,4.675746380362603,D
Mikel Merino,2,4,29.17,728,64.61,5.696823607322797,C
Kaan Kairinen,2,0,31.21,713,94.29,4.251477703219428,D
Georgiy Sudakov,2,1,32.68,702,93.22,4.606400641281295,D
Alphonso Davies,2,0,35.6,700,87.1,4.301797189201052,D
Marcos Llorente,2,4,35.3,693,85.71,5.65519968103673,C
Enzo Millot,2,4,31.16,690,87.45,5.651932080435484,C
Noa Lang,2,2,32.93,686,71.96,5.056951723315584,C
Alexis Mac Allister,2,0,32.28,674,87.89,4.336031016977936,D
David Strelec,2,0,33.0,674,81.65,4.36334598729586,D
Leandro Trossard,2,3,32.84,644,69.54,5.462724579562889,C
Martin Baturina,2,1,32.97,625,78.6,4.782024443869594,D
Silas,2,0,34.45,624,69.24,4.4901540735676,D
Cherif Ndiaye,2,1,34.43,572,67.04,4.909460814729665,D
Ngal'Ayel Mukau,2,0,31.73,567,63.65,4.597256136949659,D
Khvicha Kvaratskhelia,2,2,32.95,561,36.6,5.392947964047533,C
Mika Biereth,2,0,34.36,555,66.97,4.600119467230131,D
Chemsdine Talbi,2,1,35.87,551,69.73,4.928129127879452,D
Eliesse Ben Seghir,2,0,32.05,544,66.95,4.616153619197792,D
Oleksandr Zubkov,2,1,32.43,537,67.43,5.0415071764147,C
İlkay Gündoğan,2,0,31.35,524,68.5,4.638362476038065,D
Wilfried Singo,2,1,35.43,508,53.61,5.061029525872807,C
Christoph Baumgartner,2,1,31.8,482,54.51,5.094781839749855,C
Brahim Díaz,2,1,32.26,479,56.22,5.091645561121291,C
Kevin,2,0,35.31,460,53.39,4.797285217651417,D
Osame Sahraoui,2,2,33.21,455,59.84,5.444884483982579,C
Victor  Olatunji,2,1,34.08,424,53.89,5.181577920928984,C
Jamie Leweling,2,1,34.33,412,47.35,5.227602406231048,C
Ayase Ueda,2,0,32.18,383,47.11,4.93640151183403,D
Karim Konaté,2,0,31.66,318,39.63,5.0633743896666195,C
Hákon Arnar Haraldsson,2,0,33.08,304,31.61,5.118776808163898,C
Tammy Abraham,2,1,33.26,298,36.6,5.439924251386719,C
Petar Sučić,2,0,31.63,265,36.05,5.15587911579319,C
Donyell Malen,2,1,31.75,238,28.93,5.560480378689081,C
Ethan Nwaneri,2,0,35.06,223,28.71,5.248896258510073,C
Bruno Petković,2,0,29.98,193,21.56,5.323685400142652,C
Felício Milson,2,0,31.97,169,20.7,5.362242553874177,C
Ricardo Pepi,2,1,31.62,163,22.66,5.696653516337913,C
George Ilenikhena,2,0,32.07,111,14.1,5.475215481607984,C
João Neves,1,1,31.74,1261,139.25,3.2602390234087437,F
Hans Vanaken,1,1,30.3,1080,141.65,3.5121273857253406,F
Dávid Hancko,1,1,32.74,1080,119.86,3.6075109118836064,F
Nicolás Otamendi,1,0,30.8,1080,116.76,3.286788332010457,F
Maxim De Cuyper,1,0,31.33,1079,131.85,3.222183071022688,F
Minjae Kim,1,0,34.55,1074,111.16,3.3199999145398165,F
Ezri Konsa,1,0,34.32,990,88.68,3.540177912870988,F
Christos Tzolis,1,4,33.24,939,116.38,4.8300282811391915,D
Raphael Onyedika,1,1,29.88,939,118.46,3.818045739882246,F
Pascal Gross,1,2,29.72,918,106.4,4.235573206651169,D
Benjamin Pavard,1,0,31.81,855,74.42,3.7983079455307944,F
Thilo Kehrer,1,2,32.48,855,92.58,4.387399412167738,D
Virgil van Dijk,1,0,34.92,840,87.49,3.7628407085038376,F
Leon Goretzka,1,1,32.17,839,85.67,4.106549783168332,D
Gabriel,1,0,33.28,804,90.7,3.800978143198776,F
Reo Hatate,1,2,32.18,788,105.39,4.428454245019064,D
Konrad Laimer,1,1,34.46,781,75.47,4.235281347624019,D
Piero Hincapie,1,0,34.81,774,94.28,3.828797792601975,F
Jurriën Timber,1,1,32.71,769,56.53,4.3355855816347795,D
Breel Embolo,1,3,32.9,750,79.11,4.932873078453944,D
José María Giménez,1,0,33.07,750,83.67,3.9100345874552582,F
Éderson,1,0,34.72,739,100.18,3.853710332474955,F
Arne Engels,1,3,32.33,729,103.51,4.8565080573726185,D
Nasser Djiga,1,1,33.27,720,78.9,4.308698036305362,D
Mahdi Camara,1,1,35.14,712,93.71,4.255466285962729,D
Ollie Watkins,1,4,33.0,697,77.96,5.3490332418435695,C
Hugo Magnetti,1,1,29.92,697,93.59,4.277736942925104,D
Angelo Stiller,1,0,30.95,695,90.46,3.9600450675675223,F
Loïs Openda,1,3,35.55,683,65.8,5.088265575520685,C
Berat Djimsiti,1,0,31.23,678,82.49,4.019577689924659,D
Kenan Yıldız,1,1,34.16,668,76.69,4.393756034407996,D
Rade Krunić,1,2,31.17,668,83.67,4.6974943058142316,D
Mehdi Taremi,1,2,31.95,666,64.97,4.782251051329103,D
Gernot Trauner,1,1,31.94,659,75.13,4.413631998430465,D
Edimilson Fernandes,1,0,32.81,651,84.64,4.049307946211386,D
Ibrahima Konaté,1,0,34.11,649,69.49,4.118524924958849,D
Sead Kolašinac,1,1,32.9,639,75.65,4.440349576332832,D
Dominik Szoboszlai,1,1,34.52,637,82.91,4.411469041486593,D
Leroy Sané,1,0,34.38,634,59.86,4.182424647261522,D
Maximiliano Araújo,1,2,32.94,627,72.19,4.807184189489833,D
Felix Nmecha,1,1,34.71,619,62.71,4.525986945978669,D
Maximilian Beier,1,0,34.59,617,55.43,4.2264612768421435,D
Otar Kiteishvili,1,0,32.29,616,82.51,4.109371000772337,D
Denis Zakaria,1,0,33.13,614,72.16,4.157576463890627,D
Francisco Conceição,1,1,33.37,606,65.36,4.533232824920489,D
Qazim Laçi,1,0,31.65,605,76.72,4.150662745485899,D
Warren Zaïre-Emery,1,0,32.44,599,81.94,4.136510869867832,D
Savinho,1,1,34.39,578,67.18,4.5658573141781655,D
Lucas Vázquez,1,1,32.39,575,64.33,4.582681975397316,D
Giuliano Simeone,1,2,35.74,571,78.48,4.860833060418246,D
Zeno Debast,1,1,33.88,568,65.9,4.585957297727042,D
Jerdy Schouten,1,0,33.05,567,59.37,4.281698888002015,D
Timothy Weah,1,1,33.92,556,54.82,4.651855174895031,D
Tigran Barseghyan,1,2,34.59,553,63.03,4.95455831923562,D
Ángel Di María,1,2,32.81,547,64.41,4.957215656120891,D
