player_name,goals,minutes_played_official,assists,distance_covered,top_speed
Danijel Zagorac,0,270,0,17.41,25.89
Omri Glazer,0,270,0,13.64,21.9
Randal Kolo Muani,0,269,0,22,31.02
El Chadaille Bitshiabu,0,268,0,29.43,34.42
Luka Stojković,0,267,0,35.32,32.66
Odilon Kossounou,0,267,1,32.57,33.22
Fran García,0,266,0,30.48,33.27
David Raum,0,266,1,32.53,33.32
Lukáš Haraslín,0,265,1,31.88,30.6
Leandro Barreiro,0,262,0,39.08,31.58
Kevin Kampl,0,262,1,24.81,30.03
Armando Obispo,0,261,0,28.93,33.4
Matias Fernandez-Pardo,0,260,1,30.56,34.53
Gabriel Jesus,0,260,1,32.46,33.78
Siemen Voet,0,256,0,29.76,30.78
Juraj Kucka,0,251,0,32.15,31.62
Peter Olayinka,0,251,0,26.44,32.88
Yáser Asprilla,0,245,0,29,33.78
Givairo Read,0,244,0,28.37,34.22
Iván Fresneda,0,239,0,29.64,32.39
Paulo Bernardo,0,238,0,33.23,32.63
Diogo Jota,0,237,0,30.66,31.8
João Simões,0,235,1,34.53,32.28
Yan Couto,0,232,0,20.13,32.15
Cédric Itten,0,232,0,29.19,30.41
Danilo,0,231,0,25.21,33.06
Robin Le Normand,0,230,0,27.83,31.07
Emil Holm,0,230,0,28.14,34.88
Jarell Quansah,0,229,0,28.36,34.03
Ismaily,0,228,1,20.81,31.65
Tyrell Malacia,0,222,0,20.95,31.63
Nicolò Casale,0,218,0,25.94,30.45
Eduardo Quaresma,0,215,0,25.65,33.03
Lukas Kačavenda,0,214,0,30.63,32.61
Amine Adli,0,211,0,27.24,33.7
Kacper Urbański,0,211,0,29.36,32.05
Rafael Tolói,0,211,0,27.87,31.63
Krépin Diatta,0,211,0,26.13,32.85
Alex Valle,0,210,1,28.7,33.3
Vinicius Tobias,0,210,0,25.74,33.13
Mattia Perin,0,210,0,13.37,25.89
Lloyd Kelly,0,210,0,10.43,35.07
Nicolò Fagioli,0,206,0,27.71,30.72
Pedrinho,0,205,0,24.97,32.39
Stefan Bajcetic,0,202,0,27.84,30.75
Róbert Mak,0,201,0,27.03,31.82
Pedro Gonçalves,0,200,2,25.23,31.27
Jurij Medveděv,0,193,1,24.42,32.65
Jérémy Doku,0,192,1,21.46,33.17
Tomi Horvat,0,191,0,30.9,29.74
Hugo Vetlesen,0,182,1,26.27,31.68
Jeyland Mitchell,0,181,0,22.14,33.06
Dálcio Gomes,0,180,0,22.89,30.83
João Félix,0,180,0,23.9,30.57
Dani Carvajal,0,180,0,21.44,32.24
 Abdoulaye Ndiaye,0,180,0,20.49,33.33
Maarten Vandevoordt,0,180,0,12.35,27.74
Matvei Safonov,0,180,0,11.56,28.08
Rui Silva,0,180,0,11.33,22.49
Stefan Ortega,0,180,0,10.6,25.31
Daniil Khudiakov,0,180,0,10.55,24.35
Philipp Köhn,0,180,0,10.49,22.82
Andriy Lunin,0,180,0,10.14,25.69
Marko Ilić,0,180,0,9.42,21.15
Vanja Drkušić,0,179,0,19.42,31.36
Luka Ivanušec,0,177,0,24.63,29.38
David Alaba,0,175,0,5.07,26.56
João Palhinha,0,173,0,24.94,30.13
Ricardo Esgaio,0,170,0,22.67,30.65
Irakli Azarov,0,162,0,19.04,31.19
Ermal Krasniqi,0,158,0,21.93,30.87
Elias Cobbaut,0,158,0,19.18,30.51
Juan Cabal,0,158,0,18.2,32.86
Anrie Chase,0,156,0,20.51,33.48
Samuel Dahl,0,155,0,19.56,32.8
Bruno Duarte,0,153,0,18.38,31.84
Hyunjun,0,153,1,21.71,33.37
Abel Ruiz,0,147,0,18.95,32
Adamo Nagalo,0,145,0,16.93,31.05
Vladimír Weiss,0,145,0,16.07,32.43
Renato Sanches,0,144,0,19.63,28.38
Lassina Traoré,0,143,0,19.37,33.71
Rodrigo Riquelme,0,143,0,21.78,34.85
Arda Güler,0,142,0,22.29,30.76
Lucas Beraldo,0,142,0,6.52,29.89
Wataru Endo,0,140,0,20.95,30.27
Lamare Bogarde,0,140,0,17.49,32.83
Meschack Elia,0,138,0,19.24,33.41
Mohamed Bayo,0,138,0,18.18,33.07
Lovro Zvonarek,0,136,0,20.76,30.9
Alaa Ghram,0,135,0,16.2,31.75
Pascal Stenzel,0,131,0,17.66,30.02
Jonas Hofmann,0,131,1,19.13,31.11
Amady Camara,0,131,0,17.38,34.11
Jakub Pešek,0,130,0,16.91,32.22
Jens Odgaard,0,128,1,16.38,32.52
Mario Hermoso,0,128,0,13.93,29.29
Axel Disasi,0,126,0,8.85,30.91
Justin Bijlow,0,126,0,7.81,21.64
Emiliano Buendía,0,122,0,19.01,32.18
Taras Stepanenko,0,121,0,18.93,28.97
Kieran Tierney,0,120,0,13.6,30.42
Joe Gomez,0,119,0,14.96,32.88
Jaden Philogene,0,119,0,16.7,32.5
Michał Skóraś,0,118,0,15.33,33.5
Tiago Santos,0,116,0,14.78,33.26
Jeffrey Schlupp,0,115,0,14.79,32.28
César Azpilicueta,0,112,0,14.5,32.79
Jahmai Simpson-Pusey,0,112,0,12.35,33.16
Ramiz Zerrouki,0,111,0,15.8,30.8
Július Szöke,0,110,0,15.95,26.66
Jan-Niklas Beste,0,109,2,15.33,32.88
Arthur,0,108,0,15.26,33.59
Federico Chiesa,0,107,1,13.76,32.97
Isaac Babadi,0,104,1,15.86,28.74
Martin Terrier,0,104,1,14.86,31.4
Sacha Boey,0,103,0,12.26,31.36
Noah Okafor,0,102,1,14.85,32.86
Renato Veiga,0,102,0,10.93,28.26
Jhon Solís,0,99,0,14.92,29.82
Issa Kaboré,0,98,0,12.57,33.51
Erencan Yardımcı,0,97,0,14.62,33.69
Omar Marmoush,0,96,0,11.25,33.42
Bremer,0,96,0,11.15,31.5
Cristian Portu,0,94,0,14.79,33
Ameen Al-Dakhil,0,93,0,11.93,32.12
Folarin Balogun,0,93,0,11.62,33.73
Benjamin Rollheiser,0,92,0,15.23,31.61
Chris-Kévin Nadje,0,91,0,12.77,33.06
Mathys Tel,0,91,0,12.1,32.51
Petar Ratkov,0,90,0,12.28,27.5
Milan Rodić,0,90,0,10.91,32.09
Maurits Kjærgaard,0,90,0,12.45,31.14
James McConnell,0,90,0,12.39,27.77
Tygo Land,0,90,0,12.23,26.9
Rodri,0,90,0,12,31.66
Mathias Ross,0,90,0,11.25,30.37
Adam Ševínský,0,90,0,10.65,30.63
Luck Zogbé,0,90,0,9.88,31.3
Antal Yaakobishvili,0,90,0,9.31,27.34
Abdukodir Khusanov,0,90,0,8.82,35.62
Alexander Meyer,0,90,0,6.82,21.91
Daniel Peretz,0,90,0,6.71,26.88
Federico Ravaglia,0,90,0,6.56,22.34
Rui Patrício,0,90,0,6.43,20.55
Fabian Bredlow,0,90,0,6.1,24.17
Josep Martínez,0,90,0,5.91,23.95
Joël Drommel,0,90,0,5.53,24.46
Pau López,0,90,0,5.45,23.28
Neto,0,90,0,5.17,23.68
Marc-André ter Stegen,0,90,0,5.11,24.12
Grégoire Coudert,0,90,0,4.73,24.57
Lucas Hernández,0,87,0,11.81,29.78
Markus Solbakken,0,86,0,12.4,30.79
Luka Ilić,0,85,0,12.58,31.33
André Silva,0,85,0,4.71,29.58
Jota,0,85,0,12.04,31.04
Newertton,0,84,0,13.14,32.24
Jordan Amavi,0,84,0,9.39,32.29
Leandro Morgalla,0,83,0,10.92,30.32
Jayden Danns,0,83,0,10.63,30.05
Calvin Stengs,0,80,0,12.21,33.84
Zepiqueno Redmond,0,80,0,11.46,31.28
Selvi Clua,0,79,0,10.31,30.69
Ethan Mbappé,0,78,0,10.27,32.75
Jonas Martin,0,77,0,11.67,27.61
Carney Chukwuemeka,0,77,0,1.35,26.49
Ismaël Bennacer,0,75,1,9.5,27.23
Gabriel Teixeira,0,73,0,9.95,31.01
Branko Pavić,0,73,0,9.18,29.03
Hugo Siquet,0,70,0,9.94,29.76
Marcus Edwards,0,68,0,8.28,31.02
Ibrahim Salah,0,67,0,13.63,32.05
Jordan Teze,0,66,0,7.2,29.94
Marco Palestra,0,65,0,9.18,32.8
Aymen Sliti,0,63,0,8.12,32.35
Anthony Ralston,0,62,0,8.81,32.44
Arbër Hoxha,0,60,0,9.41,33.85
James Forrest,0,60,1,8.9,33.07
Filippo Terracciano,0,60,0,9.93,28.42
Andrea Belotti,0,55,0,8.29,30.15
Leonidas Stergiou,0,53,0,7.94,33.57
Romeo Vermant,0,52,0,10.06,30.36
Al Musrati,0,52,0,6.89,30.78
Takumu Kawamura,0,51,0,7.5,31.43
Luke McCowan,0,48,0,8.05,29.73
Kryštof Daněk,0,48,0,7.63,31.34
Gjivai Zechiel,0,46,0,6.65,30.11
Javi Serrano,0,45,0,6.36,29.58
Alexandre Brito,0,45,0,6.28,28.96
John Mellberg,0,45,0,6,30.82
Ousmane Toure,0,45,0,5.39,31.86
Martin Erlić,0,45,0,5.03,29.95
Sven Ulreich,0,45,0,2.79,22.43
Indrit Tuci,0,42,0,6.21,29.45
Lukas Klostermann,0,41,0,6.53,29.88
Ansu Fati,0,40,0,6.06,30.01
Miguel Chaiwa,0,39,0,5.77,30.41
Tyler Morton,0,39,0,5.53,32
Lorenzo Torriani,0,39,0,3.14,23.15
Lucas Michal,0,37,0,6.66,29.1
Jarzinho Malanga,0,37,0,6.06,30.79
Francesco Camarda,0,36,1,7.23,32.23
Sergi Dominguez,0,35,0,4.69,32.14
Afonso Moreira,0,35,0,4.03,29.52
Giorgio Scalvini,0,35,0,3.69,31.6
Pau Victor,0,34,0,6.36,32.82
Luis Palma,0,34,0,4.7,33.45
Eljif Elmas,0,33,0,6.67,32.1
Hiroki Ito,0,33,0,5.31,30.96
Hirving Lozano,0,33,0,4.6,30.45
Stefan Hierländer,0,32,0,8.43,31.88
Alen Mustafić,0,32,0,6.4,29.94
Zaid Romero,0,32,0,3.54,31.21
João Rego,0,30,0,5.82,29.42
Salih Özcan,0,29,0,0.26,23.14
Kosta Nedeljković,0,29,0,4.72,31.02
Michel Aebischer,0,29,0,3.61,28.66
Rhodri Smith,0,28,0,4.33,30.49
Davide Bartesaghi,0,27,0,4.16,31.67
Héctor Fort,0,27,0,3.52,31.23
Abdu Conté,0,27,0,3.43,31.98
Trey Nyoni,0,26,0,4.02,28.99
Eliot Matazo,0,25,0,4.78,28.44
Aleksandar Katai,0,24,0,3.72,29.8
Assan Ouedraogo,0,23,0,2.5,32.35
Martin Suchomel,0,22,0,4,29.28
Vasilije Adžić,0,22,0,3.41,32.47
Kassoum Ouattara,0,20,0,3.87,30.44
Pablo Torre,0,20,0,3.51,28.29
Bartol Franjić,0,20,0,2.96,29.33
André Gomes,0,20,0,2.27,27.79
Patric Pfeiffer,0,20,0,2.36,24.74
Fredrik Oppegård,0,19,0,2.43,30.15
Nathanaël Mbuku,0,18,0,3.58,29.25
Artem Stepanov,0,18,0,3.53,30.51
Presnel Kimpembe,0,18,0,1.93,28.53
Ben Godfrey,0,17,0,2.6,29.31
Bjorn Meijer,0,16,0,2.93,31.81
Juan Córdoba,0,16,0,3.07,30.37
Wessel Kuhn,0,16,0,2.8,33.59
Artur Gajdoš,0,15,0,3.76,32.35
Cole Campbell,0,14,0,2.53,33.41
Giacomo De Pieri,0,14,0,2.41,30.31
Francis Onyeka,0,14,0,2.35,25.97
Jeanuël Belocian,0,12,0,2.59,33.64
Min-su Kim,0,12,0,1.97,28.39
Jacobo Ramón,0,12,0,1.67,30.35
Jastin García,0,12,0,1.66,27.85
Lukáš Pauschek,0,12,0,1.63,26.69
Matúš Vojtko,0,11,0,2.04,27.88
David Pavelka,0,11,0,1.92,25.83
Daniel Cummings,0,11,0,1.77,31.9
Esmir Bajraktarević,0,10,0,1.75,30.43
Nico O’Reilly,0,10,0,1.47,34.62
Facundo Gonzalez,0,9,0,2.03,29.55
Thomas Lemar,0,9,0,1.7,23.45
Yegor Prutsev,0,8,0,1.61,29.3
Lucas Anjos,0,8,0,1.51,31.98
Dane Murray,0,8,0,1.23,28.95
Thomas Berenbruch,0,7,0,1.71,30.64
Matteo Cocchi,0,6,0,1.49,29.68
Benjamin Boakye,0,6,0,1.31,30.38
Andres Cuenca,0,6,0,1.26,33.64
Amara Nallo,0,4,0,0.54,28.46
Arijon Ibrahimović,0,2,0,1.02,30.29
Adam Aznou,0,2,0,0.9,24.46
Tommaso Corazza,0,2,0,0.85,25.84
Jonas Rouhi,0,1,0,1.02,26.67
Dan-Axel Zagadou,0,1,0,0.98,28.29
Ayman Azhil,0,1,0,0.9,27.86
Konstantin Schopp,0,1,0,0.78,30.61
Younes Lachaab,0,1,0,0.7,24.49
Leon Jakirović,0,1,0,0.7,31.72
Leon Grgic,0,1,0,0.6,28.15
Lukáš Penxa,0,1,0,0.28,26.52
Nathan Butler-Oyedeji,0,1,0,0.23,24.84
