name,goals,assists,top_speed,total_minutes,distance,rating,rank
Josip Mišić,0,1,32.47,0.33610271903323263,0.34220974808324206,4.416527903233546,3
Kamil Piątkowski,0,1,33.02,0.3338368580060423,0.33926615553121575,4.422759258656322,3
Yukhym Konoplia,0,2,31.79,0.3240181268882175,0.333447426067908,4.779618551461405,3
Federico Dimarco,0,2,32.59,0.32099697885196377,0.1543674698795181,4.899930076726168,3
Mama Baldé,0,2,36.13,0.31419939577039274,0.32420591456736036,4.804374026760868,3
Kostas Tsimikas,0,1,31.98,0.3081570996978852,0.3331736035049288,4.47594464707496,3
Samuel Lino,0,3,32.33,0.28323262839879154,0.33947152245345014,5.188342285970968,2
Andreas Schjelderup,0,2,32.19,0.2809667673716012,0.30928258488499455,4.877703172719277,3
Eguinaldo,0,1,34.32,0.2809667673716012,0.31195235487404166,4.541703470024082,3
Dani Ceballos,0,1,30.44,0.2794561933534743,0.2921002190580504,4.55729730992626,3
Nicolas Seiwald,0,1,33.78,0.2794561933534743,0.26861993428258485,4.57231178880294,3
Koke,0,1,29.43,0.2764350453172206,0.3624041621029573,4.518140186363781,3
Seedy Jatta,0,1,33.69,0.2620845921450151,0.30373767798466594,4.583198630717451,3
Charalampos Lykogiannis,0,1,32.75,0.2530211480362538,0.26239047097480833,4.627034416474809,3
Bart Nieuwkoop,0,1,33.0,0.23942598187311176,0.2431544359255203,4.665429350802028,3
Curtis Jones,0,2,32.43,0.23867069486404835,0.28237951807228917,5.02391093765853,2
Cheikh Niasse,0,1,33.76,0.23036253776435045,0.2426067907995619,4.6831758379864965,3
Alexander Schlager,0,1,27.56,0.22658610271903323,0.08118838992332972,4.793643364872024,3
Gerard Martín,0,1,33.98,0.21978851963746224,0.12657447973713037,4.7776684303522154,3
Juan Cuadrado,0,1,33.55,0.21148036253776437,0.23076396495071197,4.726991020197253,3
Tyrone Mings,0,1,33.57,0.2084592145015106,0.18996440306681275,4.7588790838559145,3
Marcus Rashford,0,2,34.32,0.20619335347432025,0.07208378970427165,5.172899487040225,2
Lukáš Sadílek,0,1,31.34,0.2001510574018127,0.2523959474260679,4.73490380814636,3
Alan Virginius,0,1,35.15,0.19788519637462237,0.22405531215772181,4.75737531419085,3
Raheem Sterling,0,2,34.23,0.1971299093655589,0.18975903614457834,5.115048291950566,2
Christian Mawissa,0,1,34.93,0.19561933534743203,0.18743154435925521,4.785143473133528,3
Jordan Lotomba,0,1,32.51,0.18504531722054382,0.1671686746987952,4.8183962522383865,3
Conor Bradley,0,1,34.89,0.18277945619335348,0.19468784227820374,4.8051481817132835,3
Samuel Chukwueze,0,1,33.4,0.18202416918429004,0.19756297918948526,4.804759365367174,3
Giovanni Reyna,0,1,26.92,0.18051359516616314,0.1664841182913472,4.827532139775985,3
Robert Andrich,0,1,33.08,0.17900302114803626,0.21002190580503835,4.802591264110218,3
Odilon Kossounou,0,1,33.22,0.17447129909365558,0.1746303395399781,4.83392056503113,3
David Raum,0,1,33.32,0.17371601208459214,0.17435651697699894,4.83554535226615,3
Lukáš Haraslín,0,1,30.6,0.1729607250755287,0.1699069003285871,4.83984035294571,3
Kevin Kampl,0,1,30.03,0.17069486404833836,0.12150876232201535,4.875137638322175,3
Matias Fernandez-Pardo,0,1,34.53,0.1691842900302115,0.16087075575027385,4.852866976100947,3
Gabriel Jesus,0,1,33.78,0.1691842900302115,0.17387732749178536,4.844549917831067,3
